Comparación 1 a 1 de tokens de la colección Vaswani:
Stems iguales: 7128 | Stems diferentes: 5061
------------------------------------------------------------------------------------------
Token                     Porter               Lancaster           
aoaipparatus              aoaipparatu          aoaipparat          
aoe                       aoe                  ao                  
aoolied                   aooli                aoo                 
ap                        ap                   ap                  
apart                     apart                apart               
aperiodic                 aperiod              aperiod             
aperiodicity              aperiod              aperiod             
aperture                  apertur              apert               
apertures                 apertur              apert               
apex                      apex                 apex                
apia                      apia                 ap                  
apices                    apic                 ap                  
apir                      apir                 apir                
apis                      api                  ap                  
apogee                    apoge                apog                
appa                      appa                 app                 
apparatus                 apparatu             apparat             
apparent                  appar                app                 
apparently                appar                app                 
appear                    appear               appear              
appearance                appear               appear              
appearances               appear               appear              
appeared                  appear               appear              
appearing                 appear               appear              
appears                   appear               appear              
appended                  append               append              
appendices                appendic             append              
appendix                  appendix             appendix            
apper                     apper                ap                  
appleton                  appleton             appleton            
appletons                 appleton             appleton            
appli                     appli                appl                
applicability             applic               appl                
applicable                applic               appl                
application               applic               apply               
applications              applic               apply               
applied                   appli                apply               
applies                   appli                apply               
apply                     appli                apply               
applying                  appli                apply               
apportioning              apport               apport              
appraisal                 apprais              appra               
appreaches                appreach             appreach            
appreciable               appreci              apprecy             
appreciably               appreci              apprecy             
appreciate                appreci              apprecy             
approach                  approach             approach            
approached                approach             approach            
approaches                approach             approach            
approaching               approach             approach            
approprate                appropr              appropr             
appropriat                appropriat           appropry            
appropriate               appropri             appropry            
appropriately             appropri             appropry            
approximate               approxim             approxim            
approximated              approxim             approxim            
approximately             approxim             approxim            
approximates              approxim             approxim            
approximating             approxim             approxim            
approximation             approxim             approxim            
approximations            approxim             approxim            
apreciable                apreci               aprecy              
april                     april                april               
apsects                   apsect               apsect              
apsidal                   apsid                apsid               
apsides                   apsid                apsid               
aquarid                   aquarid              aquarid             
aquarids                  aquarid              aquarid             
aqueous                   aqueou               aqu                 
ar                        ar                   ar                  
arabic                    arab                 arab                
arace                     arac                 arac                
araldite                  araldit              araldit             
arbit                     arbit                arbit               
arbitary                  arbitari             arbit               
arbitrarily               arbitrarili          arbit               
arbitrary                 arbitrari            arbit               
arc                       arc                  arc                 
arcetri                   arcetri              arcetr              
archipelago               archipelago          archipelago         
arcs                      arc                  arc                 
arctic                    arctic               arct                
are                       are                  ar                  
area                      area                 are                 
areal                     areal                ar                  
areas                     area                 area                
arend                     arend                arend               
argand                    argand               argand              
argence                   argenc               arg                 
argon                     argon                argon               
argument                  argument             argu                
arguments                 argument             argu                
argus                     argu                 arg                 
ariation                  ariat                ary                 
arise                     aris                 ar                  
arises                    aris                 ar                  
arising                   aris                 ar                  
arithmetic                arithmet             arithmet            
arithmetical              arithmet             arithmet            
arizona                   arizona              arizon              
arm                       arm                  arm                 
armatur                   armatur              arm                 
armature                  armatur              arm                 
armatures                 armatur              arm                 
armco                     armco                armco               
arms                      arm                  arm                 
arnolds                   arnold               arnold              
aromatic                  aromat               arom                
around                    around               around              
arran                     arran                ar                  
arranged                  arrang               arrang              
arrangement               arrang               arrang              
arrangements              arrang               arrang              
arranging                 arrang               arrang              
array                     array                array               
arrays                    array                array               
arrival                   arriv                ar                  
arrive                    arriv                ar                  
arrived                   arriv                ar                  
arriving                  arriv                ar                  
arrow                     arrow                arrow               
arsenic                   arsen                ars                 
arsenide                  arsenid              arsenid             
art                       art                  art                 
arthur                    arthur               arth                
article                   articl               artic               
